Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
17-07-2017 ,Bearish,09:58,NIFTYBANK,599432.5,599148.75,10:12,16,,-4540.0,-4540.0,4540.0
17-07-2017 ,Bullish,10:13,NIFTYBANK,599231.25,600073.75,11:04,16,,13480.0,8940.0,-8940.0
17-07-2017 ,Bearish,11:08,NIFTYBANK,600113.75,599558.75,11:45,25,,-13875.0,-4935.0,-22815.0
17-07-2017 ,Bullish,11:48,NIFTYBANK,599586.25,599471.25,11:49,-8,,920.0,-4015.0,-23735.0
17-07-2017 ,Bearish,11:50,NIFTYBANK,599623.7500000001,599481.25,12:09,3,,-427.50000000046566,-4442.500000000466,-23307.499999999767
18-07-2017 ,Bullish,09:15,NIFTYBANK,599811.25,602247.5,10:18,16,,38980.0,34537.499999999534,-62287.5
18-07-2017 ,Bearish,10:21,NIFTYBANK,602347.5,601518.75,11:06,25,,-20718.75,13818.749999999534,-83006.25
18-07-2017 ,Bullish,11:07,NIFTYBANK,601433.75,601482.5,11:17,25,,1218.75,15037.499999999534,-81787.5
18-07-2017 ,Bearish,11:23,NIFTYBANK,601311.25,601900.0,12:07,-8,,-4710.0,10327.499999999534,-77077.5
18-07-2017 ,Bearish,12:16,NIFTYBANK,602083.7499999999,602047.5000000001,12:31,3,,-108.74999999930151,10218.750000000233,-76968.75000000047
19-07-2017 ,Bullish,09:14,NIFTYBANK,601730.0,602345.0,09:48,16,,9840.0,20058.750000000233,-86808.75
19-07-2017 ,Bearish,09:56,NIFTYBANK,603036.25,602780.0,10:10,16,,-4100.0,15958.750000000233,-82708.75
19-07-2017 ,Bearish,10:21,NIFTYBANK,602997.5,602840.0,10:25,16,,-2520.0,13438.750000000233,-80188.75
19-07-2017 ,Bearish,10:26,NIFTYBANK,603050.0,603008.75,10:53,16,,-660.0,12778.750000000233,-79528.75
19-07-2017 ,Bullish,10:57,NIFTYBANK,602960.0,603258.75,11:06,25,,7468.75,20247.500000000233,-72060.0
20-07-2017 ,Bullish,09:20,NIFTYBANK,605881.25,605546.25,09:31,-8,,2680.0,22927.500000000233,-74740.0
20-07-2017 ,Bullish,09:35,NIFTYBANK,605075.0,605692.5,09:40,25,,15437.5,38365.00000000023,-59302.5
20-07-2017 ,Bullish,09:42,NIFTYBANK,605715.0,605512.5,09:58,-8,,1620.0,39985.00000000023,-60922.5
20-07-2017 ,Bearish,09:59,NIFTYBANK,605528.7500000001,605263.7499999999,10:00,3,,-795.0000000006985,39189.999999999534,-60127.499999999534
20-07-2017 ,Bearish,10:01,NIFTYBANK,605638.75,605265.0,10:08,16,,-5980.0,33209.999999999534,-54147.5
