Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-29 ,Bearish,09:19:00,TCS,3704.0,3691.8,15:29:00,15,,-183.0,-183.0,183.0
2021-12-30 ,Bullish,09:16:00,TCS,3686.5,3736.0,15:29:00,15,,742.5,559.5,-559.5
2021-12-31 ,Bearish,09:15:00,TCS,3754.45,3740.0,15:29:00,15,,-216.75,342.75,-342.75
2022-01-03 ,Bullish,09:15:00,TCS,3769.85,3815.0,15:29:00,15,,677.25,1020.0,-1020.0
2022-01-04 ,Bullish,09:15:00,TCS,3844.2,3878.7,15:29:00,14,,483.0,1503.0,-1503.0
2022-01-05 ,Bearish,09:18:00,TCS,3864.9,3856.0,15:29:00,14,,-124.59999999999854,1378.4000000000015,-1378.4000000000015
2022-01-06 ,Bearish,09:21:00,TCS,3823.75,3809.95,15:29:00,14,,-193.20000000000437,1185.199999999997,-1185.199999999997
2022-01-07 ,Bullish,09:15:00,TCS,3824.35,3858.9,15:29:00,14,,483.6999999999971,1668.8999999999942,-1668.8999999999942
2022-01-10 ,Bearish,09:15:00,TCS,3926.6,3883.6,15:29:00,14,,-602.0,1066.8999999999942,-1066.8999999999942
2022-01-11 ,Bullish,09:16:00,TCS,3887.45,3916.0,15:29:00,14,,399.70000000000437,1466.5999999999985,-1466.5999999999985
2022-01-12 ,Bearish,09:15:00,TCS,3921.15,3856.75,15:29:00,14,,-901.5999999999985,565.0,-565.0
2022-01-13 ,Bearish,09:15:00,TCS,3902.75,3898.0,15:29:00,14,,-66.5,498.5,-498.5
2022-01-14 ,Bullish,09:22:00,TCS,3869.3,3965.9,15:29:00,14,,1352.3999999999942,1850.8999999999942,-1850.8999999999942
2022-01-17 ,Bullish,09:15:00,TCS,3993.0,4025.0,15:29:00,14,,448.0,2298.899999999994,-2298.899999999994
2022-01-18 ,Bearish,09:15:00,TCS,4039.4,3993.0,15:29:00,14,,-649.5999999999985,1649.2999999999956,-1649.2999999999956
2022-01-19 ,Bearish,09:17:00,TCS,3967.25,3919.5,15:29:00,14,,-668.5,980.7999999999956,-980.7999999999956
2022-01-20 ,Bearish,09:30:00,TCS,3885.9,3833.15,15:29:00,14,,-738.5,242.29999999999563,-242.29999999999563
2022-01-21 ,Bullish,09:17:00,TCS,3787.9,3842.0,15:29:00,15,,811.5,1053.7999999999956,-1053.7999999999956
2022-01-24 ,Bearish,09:32:00,TCS,3815.0,3768.75,15:29:00,14,,-647.5,406.29999999999563,-406.29999999999563
2022-01-25 ,Bullish,09:21:00,TCS,3735.95,3764.9,15:29:00,15,,434.25,840.5499999999956,-840.5499999999956
2022-01-27 ,Bearish,09:17:00,TCS,3730.8,3652.4,15:29:00,15,,-1176.0,-335.45000000000437,335.45000000000437
2022-01-28 ,Bullish,09:15:00,TCS,3678.0,3695.05,15:29:00,15,,255.75,-79.70000000000437,79.70000000000437
2022-01-31 ,Bullish,09:15:00,TCS,3731.55,3744.95,15:29:00,15,,201.0,121.29999999999563,-121.29999999999563
2022-02-01 ,Bullish,09:15:00,TCS,3765.65,3805.0,15:29:00,15,,590.25,711.5499999999956,-711.5499999999956
